SalePrice,OverallQual,OverallCond,BedroomAbvGr,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,YearBuilt,MSZoning,Utilities,BldgType,Categoria
208500,7,5,3,8,1710,856,2003,RL,AllPub,1Fam,barata
181500,6,8,3,6,1262,1262,1976,RL,AllPub,1Fam,barata
223500,7,5,3,6,1786,920,2001,RL,AllPub,1Fam,cara
140000,7,5,3,7,1717,756,1915,RL,AllPub,1Fam,barata
250000,8,5,4,9,2198,1145,2000,RL,AllPub,1Fam,cara
143000,5,5,1,5,1362,796,1993,RL,AllPub,1Fam,barata
307000,8,5,3,7,1694,1686,2004,RL,AllPub,1Fam,cara
200000,7,6,3,7,2090,1107,1973,RL,AllPub,1Fam,barata
129900,7,5,2,8,1774,952,1931,RM,AllPub,1Fam,barata
118000,5,6,2,5,1077,991,1939,RL,AllPub,2fmCon,barata
129500,5,5,3,5,1040,1040,1965,RL,AllPub,1Fam,barata
345000,9,5,4,11,2324,1175,2005,RL,AllPub,1Fam,cara
144000,5,6,2,4,912,912,1962,RL,AllPub,1Fam,barata
279500,7,5,3,7,1494,1494,2006,RL,AllPub,1Fam,cara
157000,6,5,2,5,1253,1253,1960,RL,AllPub,1Fam,barata
132000,7,8,2,5,854,832,1929,RM,AllPub,1Fam,barata
149000,6,7,2,5,1004,1004,1970,RL,AllPub,1Fam,barata
90000,4,5,2,6,1296,0,1967,RL,AllPub,Duplex,barata
159000,5,5,3,6,1114,1114,2004,RL,AllPub,1Fam,barata
139000,5,6,3,6,1339,1029,1958,RL,AllPub,1Fam,barata
325300,8,5,4,9,2376,1158,2005,RL,AllPub,1Fam,cara
139400,7,7,3,6,1108,637,1930,RM,AllPub,1Fam,barata
230000,8,5,3,7,1795,1777,2002,RL,AllPub,1Fam,cara
129900,5,7,3,6,1060,1040,1976,RM,AllPub,TwnhsE,barata
154000,5,8,3,6,1060,1060,1968,RL,AllPub,1Fam,barata
256300,8,5,3,7,1600,1566,2007,RL,AllPub,1Fam,cara
134800,5,7,3,5,900,900,1951,RL,AllPub,1Fam,barata
306000,8,5,3,7,1704,1704,2007,RL,AllPub,1Fam,cara
207500,5,6,2,6,1600,1484,1957,RL,AllPub,1Fam,barata
68500,4,6,1,4,520,520,1927,RM,AllPub,1Fam,barata
40000,4,4,3,6,1317,649,1920,C (all),AllPub,1Fam,barata
